x1;x2;x3;x4;CH4;CO2;H2;CO;N2;O2;Vixod;Wlazhnost;Qnis;Plotnost;StConvC;StConvH2O
500.0;80.0;1000.0;60.0;0.5;12,7,;13.5;18.7;53.6;1.0;4.4;138.0;4.0;1183.0;94.4;23.9
300.0;80.0;1000.0;60.0;1.5;9.7;13.5;22.6;52.6;0.4;4.4;140.0;4.9;1155.0;98.9;23.9
500.0;60.0;1000.0;60.0;0.7;13.8;15.1;15.8;53.1;1.5;4.5;73.0;3.9;1170.0;91.6;45.4
300.0;60.0;1000.0;60.0;1.7;10.8;15.0;19.7;51.9;0.9;4.5;78.0;4.7;1145.0;96.1;43.7
500.0;80.0;800.0;60.0;0.5;12.2;14.9;16.4;54.9;1.1;4.9;100.0;3.9;1163.0;94.9;39.1
300.0;80.0;800.0;60.0;1.5;11.4;15.0;20.3;51.0;0.8;4.5;120.0;4.8;1149.0;99.4;32.9
500.0;60.0;800.0;60.0;0.7;15.5;15.7;13.5;53.1;1.5;4.6;62.0;3.8;1177.0;92.1;52.3
300.0;60.0;800.0;60.0;1.7;12.5;15.2;17.4;52.8;0.4;4.6;69.0;4.5;1155.0;96.6;47.3
500.0;80.0;1000.0;40.0;0.6;14.0;13.4;16.0;54.5;1.5;4.3;149.0;3.7;1192.0;87.3;21.8
300.0;80.0;1000.0;40.0;1.6;11.0;13.1;19.9;54.3;0.1;4.2;152.0;4.5;1168.0;91.8;19.8
500.0;60.0;1000.0;40.0;0.8;15.1;14.2;13.1;55.9;0.9;4.3;88.0;3.5;1191.0;84.5;36.0
300.0;60.0;1000.0;40.0;1.8;12.1;14.0;17.0;54.2;0.9;4.3;94.0;4.3;1166.0;89.0;32.7
500.0;80.0;800.0;40.0;0.6;15.7;14.0;13.7;54.5;1.5;4.4;135.0;3.5;1199.0;87.8;26.4
300.0;80.0;800.0;40.0;1.6;12.7;13.6;14.2;57.8;0.1;4.8;113.0;3.9;1173.0;92.3;31.6
500.0;60.0;800.0;40.0;0.8;16.8;14.8;10.8;55.7;1.1;4.5;77.0;3.3;1195.0;85.0;42.6
300.0;60.0;800.0;40.0;1.8;13.8;15.1;14.7;54.1;0.5;4.3;81.0;4.2;1163.0;87.9;41.4
400.0;70.0;900.0;50.0;1.1;15.2;12.9;14.8;54.9;1.1;4.1;136.0;3.7;1205.0;85.7;19.9
400.0;70.0;900.0;50.0;1.1;15.5;12.6;15.2;54.6;1.0;4.0;144.0;3.7;1210.0;86.1;17.1
400.0;70.0;900.0;50.0;0.9;15.1;13.0;14.5;55.4;1.1;4.2;130.0;3.7;1204.0;86.0;21.9
400.0;70.0;900.0;50.0;0.9;15.0;12.6;14.5;55.8;1.2;4.2;134.0;3.7;1207.0;85.7;19.8
