x1,x2,x3,x4,CH4,CO2,H2,CO,N2,O2,Vixod,Wlazhnost,Qnis,Plotnost,StConvC,StConvH2O
500,80,1000,60,0.5,12.7,13.5,18.7,53.6,1,4.41,138,4,1183,94.4,23.9
300,80,1000,60,1.5,9.7,13.5,22.6,52.6,0.4,4.36,140,4.9,1155,98.9,23.9
500,60,1000,60,0.7,13.8,15.1,15.8,53.1,1.5,4.5,73,3.9,1170,91.6,45.4
300,60,1000,60,1.7,10.8,15,19.7,51.9,0.9,4.45,78,4.7,1145,96.1,43.7
500,80,800,60,0.5,12.2,14.9,16.4,54.9,1.1,4.86,100,3.9,1163,94.9,39.1
300,80,800,60,1.5,11.4,15,20.3,51,0.8,4.46,120,4.8,1149,99.4,32.9
500,60,800,60,0.7,15.5,15.7,13.5,53.1,1.5,4.62,62,3.8,1177,92.1,52.3
300,60,800,60,1.7,12.5,15.2,17.4,52.8,0.4,4.55,69,4.5,1155,96.6,47.3
500,80,1000,40,0.6,14,13.4,16,54.5,1.5,4.25,149,3.7,1192,87.3,21.8
300,80,1000,40,1.6,11,13.1,19.9,54.3,0.1,4.21,152,4.5,1168,91.8,19.8
500,60,1000,40,0.8,15.1,14.2,13.1,55.9,0.9,4.34,88,3.5,1191,84.5,36
300,60,1000,40,1.8,12.1,14,17,54.2,0.9,4.29,94,4.3,1166,89,32.7
500,80,800,40,0.6,15.7,14,13.7,54.5,1.5,4.36,135,3.5,1199,87.8,26.4
300,80,800,40,1.6,12.7,13.6,14.2,57.8,0.1,4.83,113,3.9,1173,92.3,31.6
500,60,800,40,0.8,16.8,14.8,10.8,55.7,1.1,4.46,77,3.3,1195,85,42.6
300,60,800,40,1.8,13.8,15.1,14.7,54.1,0.5,4.32,81,4.2,1163,87.9,41.4
400,70,900,50,1.1,15.2,12.9,14.8,54.9,1.1,4.11,136,3.7,1205,85.7,19.9
400,70,900,50,1.1,15.5,12.6,15.2,54.6,1,4.03,144,3.7,1210,86.1,17.1
400,70,900,50,0.9,15.1,13,14.5,55.4,1.1,4.2,130,3.7,1204,86,21.9
400,70,900,50,0.9,15,12.6,14.5,55.8,1.2,4.2,134,3.7,1207,85.7,19.8
